symbol,updateTime,currentFvg_type,currentFvg_high,currentFvg_low,currentFvg_mid,currentFvg_openType,currentFvg_closeType,currentFvg_timestamp,currentFvg_time,upFvg_type,upFvg_high,upFvg_low,upFvg_mid,upFvg_openType,upFvg_closeType,upFvg_timestamp,upFvg_time,downFvg_type,downFvg_high,downFvg_low,downFvg_mid,downFvg_openType,downFvg_closeType,downFvg_timestamp,downFvg_time,currentPrice
DOTUSDT,18/06/2025 08:06:21,up,3.878,3.673,3.7755,up,down,1745020800000,19.04.2025 00:00,up,3.672,3.633,3.6525,up,up,1744934400000,18.04.2025 00:00,down,3.834,3.819,3.8265000000000002,down,up,1749859200000,14.06.2025 00:00,3.756
TRXUSDT,18/06/2025 08:06:21,down,0.2794,0.27173,0.275565,down,down,1749686400000,12.06.2025 00:00,up,0.27374,0.27203,0.272885,up,up,1748217600000,26.05.2025 00:00,up,0.27786,0.27423,0.276045,up,down,1749081600000,05.06.2025 00:00,0.27378
BCHUSDT,18/06/2025 08:06:21,down,470.95,436.72,453.83500000000004,up,down,1736208000000,07.01.2025 00:00,down,469.11,468.84,468.975,up,down,1717977600000,10.06.2024 00:00,up,476.78,464.53,470.655,up,up,1717459200000,04.06.2024 00:00,470.65
NEARUSDT,18/06/2025 08:06:21,up,2.182,2.053,2.1174999999999997,up,up,1745020800000,19.04.2025 00:00,up,2.094,2.087,2.0905,up,down,1744416000000,12.04.2025 00:00,down,2.237,2.231,2.234,down,down,1749859200000,14.06.2025 00:00,2.163
SXTUSDT,18/06/2025 08:06:21,,,,,,,,,,,,,,,,,down,0.07621,0.07522,0.075715,down,down,1750032000000,16.06.2025 00:00,0.07112
WLDUSDT,18/06/2025 08:06:21,up,1.0474,0.9202,0.9838,up,up,1745539200000,25.04.2025 00:00,up,0.9202,0.8629,0.8915500000000001,up,up,1745452800000,24.04.2025 00:00,up,0.9288,0.9272,0.9279999999999999,up,up,1746576000000,07.05.2025 00:00,0.9206
OMUSDT,18/06/2025 08:06:21,down,0.26174,0.25811,0.25992499999999996,down,down,1750032000000,16.06.2025 00:00,up,0.25841,0.24734,0.25287499999999996,up,up,1709164800000,29.02.2024 00:00,down,0.26878,0.26388,0.26633,down,up,1749772800000,13.06.2025 00:00,0.25876
TAOUSDT,18/06/2025 08:06:21,up,373.8,352.94,363.37,down,down,1746403200000,05.05.2025 00:00,down,357.7,352.94,355.32,up,down,1746230400000,03.05.2025 00:00,down,366.04,357.72,361.88,down,up,1745971200000,30.04.2025 00:00,357.56
APTUSDT,18/06/2025 08:06:21,up,4.61,4.4098,4.5099,down,down,1744156800000,09.04.2025 00:00,,,,,,,,,up,4.5358,4.4942,4.515000000000001,down,up,1749945600000,15.06.2025 00:00,4.4732
JELLYJELLYUSDT,18/06/2025 08:06:21,up,0.03128,0.02575,0.028515,down,down,1749772800000,13.06.2025 00:00,down,0.02581,0.02525,0.02553,up,down,1748995200000,04.06.2025 00:00,down,0.03129,0.03054,0.030914999999999998,down,down,1750032000000,16.06.2025 00:00,0.0292
CRVUSDT,18/06/2025 08:06:21,up,0.601,0.587,0.594,down,down,1744761600000,16.04.2025 00:00,down,0.6,0.587,0.5934999999999999,down,down,1744588800000,14.04.2025 00:00,down,0.617,0.595,0.606,down,up,1749859200000,14.06.2025 00:00,0.594
ORDIUSDT,18/06/2025 08:06:21,up,8.23,7.109,7.6695,down,up,1746662400000,08.05.2025 00:00,down,7.526,7.364,7.445,down,down,1746316800000,04.05.2025 00:00,down,8.23,7.525,7.8775,down,down,1746230400000,03.05.2025 00:00,7.688
1000BONKUSDT,18/06/2025 08:06:21,up,0.014909,0.012321,0.013615,up,down,1745280000000,22.04.2025 00:00,down,0.014022,0.013921,0.0139715,down,down,1742947200000,26.03.2025 00:00,down,0.014723,0.014714,0.014718499999999999,up,down,1750032000000,16.06.2025 00:00,0.014222
TIAUSDT,18/06/2025 08:06:21,,,,,,,,,,,,,,,,,down,1.7552,1.7185,1.73685,down,down,1750032000000,16.06.2025 00:00,1.6936
BROCCOLIF3BUSDT,18/06/2025 08:06:21,up,0.009463,0.007434,0.0084485,down,up,1743206400000,29.03.2025 00:00,,,,,,,,,down,0.009914,0.009686,0.0098,up,down,1750032000000,16.06.2025 00:00,0.008736
1000SATSUSDT,18/06/2025 08:06:21,up,0.0000442,0.0000389,0.000041549999999999994,up,up,1746662400000,08.05.2025 00:00,down,0.0000398,0.0000389,0.000039349999999999994,up,up,1746489600000,06.05.2025 00:00,down,0.0000409,0.0000407,0.0000408,down,down,1750032000000,16.06.2025 00:00,0.0000396
ETCUSDT,18/06/2025 08:06:21,up,18.628,16.226,17.427,down,up,1746662400000,08.05.2025 00:00,down,16.592,15.997,16.2945,down,up,1746316800000,04.05.2025 00:00,down,16.876,16.591,16.7335,up,down,1746230400000,03.05.2025 00:00,16.597
PORTALUSDT,18/06/2025 08:06:21,,,,,,,,,,,,,,,,,down,0.03622,0.03618,0.036199999999999996,down,down,1750032000000,16.06.2025 00:00,0.03326
HBARUSDT,18/06/2025 08:06:21,up,0.17029,0.14491,0.15760000000000002,up,down,1732838400000,29.11.2024 00:00,up,0.14492,0.14197,0.143445,up,up,1732752000000,28.11.2024 00:00,down,0.15431,0.1533,0.153805,down,down,1750032000000,16.06.2025 00:00,0.15051
MASKUSDT,18/06/2025 08:06:21,up,1.3818,1.2923,1.33705,up,up,1746835200000,10.05.2025 00:00,up,1.2922,1.1895,1.24085,up,up,1746748800000,09.05.2025 00:00,down,1.3997,1.3968,1.39825,down,up,1749859200000,14.06.2025 00:00,1.3451
GALAUSDT,18/06/2025 08:06:21,up,0.01532,0.01424,0.01478,up,up,1745020800000,19.04.2025 00:00,down,0.01435,0.01407,0.01421,up,down,1744675200000,15.04.2025 00:00,down,0.01499,0.01491,0.01495,down,down,1750032000000,16.06.2025 00:00,0.01439
XLMUSDT,18/06/2025 08:06:21,up,0.26486,0.24998,0.25742,up,up,1745280000000,22.04.2025 00:00,up,0.24997,0.24605,0.24801,down,up,1745193600000,21.04.2025 00:00,down,0.25943,0.25218,0.255805,down,down,1743811200000,05.04.2025 00:00,0.25334
POPCATUSDT,18/06/2025 08:06:21,up,0.3346,0.2617,0.29815,up,down,1745280000000,22.04.2025 00:00,up,0.3106,0.2807,0.29564999999999997,down,down,1739318400000,12.02.2025 00:00,down,0.3106,0.2928,0.30169999999999997,up,up,1739577600000,15.02.2025 00:00,0.2975
TURBOUSDT,18/06/2025 08:06:21,up,0.0042806,0.0030576,0.0036691,up,down,1745366400000,23.04.2025 00:00,down,0.0036833,0.0036336,0.0036584499999999997,down,down,1739664000000,16.02.2025 00:00,up,0.003854,0.00359,0.0037219999999999996,up,up,1725840000000,09.09.2024 00:00,0.003674
BOMEUSDT,18/06/2025 08:06:21,up,0.001637,0.001391,0.0015140000000000002,up,up,1746662400000,08.05.2025 00:00,down,0.001576,0.001427,0.0015015,up,down,1746230400000,03.05.2025 00:00,down,0.001603,0.001576,0.0015895,down,down,1743033600000,27.03.2025 00:00,0.001564
FETUSDT,18/06/2025 08:06:21,up,0.6746,0.6628,0.6687,up,down,1746489600000,06.05.2025 00:00,down,0.6557,0.6532,0.65445,down,down,1740700800000,28.02.2025 00:00,down,0.6833,0.6628,0.6730499999999999,down,up,1746316800000,04.05.2025 00:00,0.6643
LDOUSDT,18/06/2025 08:06:21,up,0.8121,0.7714,0.79175,up,down,1749254400000,07.06.2025 00:00,down,0.7848,0.7799,0.7823500000000001,down,up,1746489600000,06.05.2025 00:00,down,0.8449,0.7714,0.8081499999999999,up,up,1749081600000,05.06.2025 00:00,0.7844
EIGENUSDT,18/06/2025 08:06:21,down,1.2279,1.1851,1.2065000000000001,up,up,1750032000000,16.06.2025 00:00,up,1.2353,1.1275,1.1814,up,up,1746748800000,09.05.2025 00:00,down,1.3109,1.2635,1.2872,down,up,1749859200000,14.06.2025 00:00,1.1947
INJUSDT,18/06/2025 08:06:21,up,11.183,9.555,10.369,up,up,1746662400000,08.05.2025 00:00,down,10.522,10.328,10.425,down,down,1743033600000,27.03.2025 00:00,down,11.749,11.437,11.593,down,down,1749859200000,14.06.2025 00:00,10.996
PENDLEUSDT,18/06/2025 08:06:21,up,3.925,3.7063,3.8156499999999998,down,down,1750032000000,16.06.2025 00:00,down,3.8316,3.7295,3.78055,down,up,1728432000000,09.10.2024 00:00,down,3.8535,3.8177,3.8356,down,down,1749772800000,13.06.2025 00:00,3.795
